model,test_accuracy,cv_mean_accuracy,cv_std
Logistic Regression,0.9722222222222222,0.993103448275862,0.013793103448275846
Decision Tree,0.9444444444444444,0.916256157635468,0.05135925721764876
Random Forest,1.0,0.9862068965517242,0.027586206896551738
